sloupec, radek/radky
1,['2', '3']
8,['31', '200', '232']
14,['152']
17,['550']
20,['572']
21,['194']
22,['314', '320']
29,['12', '13', '14']
32,['17', '18', '19']
45,['13', '83']
48,['3', '5']
