,škola,třída,datum narození,datum testu,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,subtest 1,subtest 2,subtest 3,subtest 4,subtest 5,subtest 6,subtest 7,subtest 8,test 1,test 2,test 3,test 4, TMC
73,B,2.B,,2021-12-02,M,3.0,3.0,0.0,6.0,12.0,10.0,9.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,6.0,32.0,10.0,9.0,12.0,5.0,4.0,5.0,5.0,5.0,5.0,10.0,1.0,10.0,6.0,10.0,10.0,6.0,2.0,5.0,2.0,1.0,8.6,14.0,37.0,10.0,8.0,4.0,2.0,3.0,0.0,3.0,1.0,0.0,100.0,4.0,6.0,35.0,25.0,11.0,21.0,13.0,16.0,4.0,8.0,1.0,10.0,53.0,26.0,38.0,32.0,33.0
74,B,2.C,,2021-11-25,M,3.0,3.0,1.0,3.0,12.0,4.0,7.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,12.0,16.0,7.0,8.0,4.0,4.0,5.0,5.0,5.0,5.0,10.0,3.0,10.0,6.0,10.0,10.0,4.0,3.0,10.0,10.0,3.0,9.1,26.0,35.0,14.0,28.0,5.0,4.0,3.0,5.0,8.0,6.0,3.0,95.0,11.0,11.0,10.0,60.0,8.0,15.0,7.0,18.0,12.0,16.0,16.0,14.0,42.0,42.0,50.0,50.0,44.0
75,B,2.C,,2021-11-25,F,3.0,3.0,1.0,2.0,12.0,12.0,12.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,20.0,12.0,9.0,18.0,7.0,4.0,5.0,5.0,3.0,5.0,10.0,3.0,10.0,6.0,10.0,10.0,6.0,8.0,10.0,10.0,10.0,8.7,34.0,40.0,18.0,30.0,5.0,4.0,0.0,3.0,2.0,3.0,2.0,110.0,0.0,10.0,60.0,60.0,15.0,18.0,16.0,14.0,20.0,19.0,9.0,13.0,53.0,44.0,55.0,53.0,51.0
79,B,2.C,,2021-11-25,M,3.0,3.0,2.0,10.0,10.0,6.0,12.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,26.0,9.0,7.0,16.0,5.0,4.0,5.0,5.0,5.0,4.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,5.0,4.0,10.0,4.0,9.9,35.0,33.0,25.0,30.0,5.0,4.0,5.0,4.0,8.0,8.0,1.0,100.0,6.0,0.0,60.0,60.0,6.0,15.0,13.0,20.0,12.0,21.0,16.0,13.0,40.0,49.0,52.0,55.0,49.0
84,B,2.C,,2021-11-25,F,3.0,3.0,0.0,12.0,9.0,3.0,12.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,20.0,17.0,8.0,14.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,9.0,10.0,6.0,10.0,7.0,6.0,3.0,10.0,10.0,3.0,8.5,25.0,32.0,12.0,17.0,5.0,4.0,0.0,0.0,4.0,2.0,0.0,70.0,2.0,0.0,35.0,19.0,5.0,16.0,17.0,20.0,12.0,15.0,9.0,5.0,39.0,45.0,52.0,38.0,41.0
102,B,3.A,,2021-06-29,F,3.0,3.0,3.0,1.0,9.0,12.0,12.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,24.0,16.0,9.0,17.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,7.7,21.0,53.0,31.0,35.0,5.0,5.0,5.0,3.0,6.0,10.0,2.0,160.0,17.0,20.0,60.0,60.0,6.0,14.0,15.0,19.0,23.0,18.0,13.0,19.0,37.0,47.0,68.0,58.0,53.0
103,B,3.A,,2021-06-29,F,3.0,3.0,1.0,2.0,12.0,12.0,9.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,28.0,15.0,9.0,15.0,7.0,4.0,5.0,5.0,3.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,0.0,9,16.0,38.0,12.0,36.0,5.0,3.0,5.0,4.0,6.0,3.0,0.0,105.0,4.0,11.0,60.0,60.0,6.0,11.0,13.0,14.0,5.0,8.0,7.0,11.0,34.0,35.0,34.0,38.0,31.0
108,B,3.A,,2021-06-29,F,3.0,3.0,0.0,7.0,12.0,9.0,12.0,4.0,5.0,6.0,4.0,5.0,5.0,3.0,5.0,49.0,18.0,10.0,20.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,4.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,7.9,23.0,41.0,34.0,37.0,5.0,5.0,5.0,5.0,10.0,10.0,1.0,115.0,17.0,12.0,60.0,60.0,4.0,12.0,24.0,12.0,10.0,17.0,16.0,15.0,33.0,65.0,38.0,52.0,45.0
117,B,3.C,,2021-11-25,M,3.0,3.0,1.0,6.0,11.0,10.0,12.0,4.0,5.0,6.0,3.0,5.0,5.0,4.0,5.0,42.0,12.0,7.0,15.0,4.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,2.0,10.0,10.0,2.0,8.3,36.0,46.0,28.0,32.0,5.0,0.0,5.0,5.0,10.0,4.0,1.0,160.0,3.0,12.0,60.0,60.0,8.0,16.0,13.0,21.0,9.0,19.0,8.0,16.0,41.0,36.0,51.0,56.0,44.0
127,B,3.C,,2021-11-25,F,3.0,3.0,3.0,3.0,12.0,7.0,12.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,0.0,31.0,16.0,10.0,17.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,4.0,10.0,10.0,10.0,9,38.0,43.0,24.0,40.0,5.0,2.0,1.0,2.0,1.0,4.0,0.0,80.0,1.0,11.0,60.0,35.0,5.0,2.0,19.0,20.0,16.0,18.0,2.0,9.0,25.0,40.0,57.0,48.0,40.0
